"userId","movieId","m1_ratings"
429,22,4.06701231002808
429,150,4.4783353805542
429,161,4.32417440414429
429,165,4.14340543746948
429,218,4.20589256286621
429,222,4.31936883926392
429,225,4.12988138198853
429,227,3.55397987365723
429,343,3.87339568138123
429,349,4.15583848953247
429,351,4.1065936088562
429,420,3.4350962638855
429,421,4.06701231002808
429,432,3.55716061592102
429,434,3.71319150924683
429,468,3.88341617584229
429,588,4.25547504425049
429,590,4.40275478363037
429,592,3.82985305786133
429,595,4.28231287002563
429,48,3.74653625488281
429,60,4.30752754211426
429,151,4.54476404190063
429,168,3.88772964477539
429,169,3.3828272819519
429,185,3.92919874191284
429,186,3.91636371612549
429,195,4.30328273773193
429,204,3.20935010910034
429,207,4.5452241897583
429,208,3.34676599502563
429,234,2.851895570755
429,236,4.0349268913269
429,237,4.06701231002808
429,252,4.20882606506348
429,256,3.87339568138123
429,257,4.5452241897583
429,261,4.51862573623657
429,266,4.00025272369385
429,270,4.20882606506348
429,274,4.1607494354248
429,276,3.69947075843811
429,279,3.58670926094055
429,281,4.41482257843018
429,282,4.06701231002808
429,289,3.90684723854065
429,292,4.086106300354
429,294,3.58670926094055
429,300,4.10051488876343
429,315,3.75010895729065
429,316,3.77040696144104
429,317,4.06701231002808
429,329,3.92538547515869
429,339,4.14790630340576
429,380,4.07087135314941
429,381,4.35339212417603
429,553,4.28282928466797
429,164,3.90684723854065
107,1,4.45026445388794
107,2,4.31754875183105
107,5,3.54385018348694
107,11,4.35805320739746
107,62,4.35805320739746
107,104,3.95373058319092
107,105,3.55936622619629
107,140,3.92232203483582
107,141,4.11279249191284
191,1,4.07568979263306
191,6,3.9272575378418
191,16,3.95807504653931
191,17,3.93512058258057
191,21,3.55216217041016
191,25,3.89471125602722
191,32,3.98920297622681
191,36,3.86943316459656
191,52,3.62639617919922
191,58,4.44207239151001
191,85,3.98347568511963
191,94,3.98347568511963
191,95,3.42646765708923
191,99,4.89631271362305
191,111,4.13254499435425
191,140,3.54774737358093
191,494,3.5809531211853
191,581,4.4659571647644
191,608,4.29766464233398
191,668,4.89631271362305
191,720,4.89631271362305
191,34,4.15097761154175
191,39,3.18479132652283
191,72,3.98347568511963
191,110,4.27109622955322
191,144,3.3546187877655
191,148,4.89631271362305
191,150,3.91658735275269
191,153,3.16346001625061
191,155,3.98347568511963
191,158,3.34510231018066
191,159,2.59695386886597
191,160,3.06000876426697
191,161,3.76242613792419
191,162,4.89631271362305
191,175,4.73909997940063
191,213,4.39551258087158
191,215,3.50526642799377
191,223,4.4334135055542
191,224,3.51974296569824
191,229,3.75762438774109
191,230,3.75762438774109
191,235,3.48699498176575
191,236,3.47317957878113
191,237,3.50526642799377
191,246,4.50788974761963
191,347,3.50526642799377
191,348,3.26810812950134
191,417,3.50526642799377
191,427,2.16881108283997
191,468,3.3216712474823
191,47,3.99431252479553
191,50,4.13878583908081
191,151,3.98301839828491
191,178,1.16931390762329
