"userId","movieId","user_avg","movie_avg","global_avg","sim_usr1","sim_usr2","sim_usr3","sim_usr4","sim_usr5","sim_mov_1","sim_mov2","sim_mov3","sim_mov4","sim_mov5","m1_ratings","m2_ratings"
429,22,3.98275862068966,3.5,3.579625,4,4,3,5,5,4,4,4,4,4,4.06701231002808,4.15857323928788
429,150,3.98275862068966,3.95121951219512,3.579625,5,5,5,4,5,5,5,5,5,3,4.4783353805542,4.39956241945789
429,161,3.98275862068966,3.78787878787879,3.579625,5,3,5,4,5,3,5,5,4,5,4.32417440414429,4.27730655439026
429,165,3.98275862068966,3.62857142857143,3.579625,5,5,5,4,4,5,3,4,3,5,4.14340543746948,4.1568298678347
429,218,3.98275862068966,3.7,3.579625,4,3,2,4,5,4,2,4,4,4,4.20589256286621,4.27437567885954
429,222,3.98275862068966,3.75,3.579625,5,4,4,3,1,5,5,3,4,5,4.31936883926392,4.10952857706589
429,225,3.98275862068966,3.64285714285714,3.579625,5,5,5,5,4,5,5,3,5,5,4.12988138198853,4.14261337222988
429,227,3.98275862068966,3.15384615384615,3.579625,4,3,3,3,3,4,2,4,4,3,3.55397987365723,3.9446872739039
429,343,3.98275862068966,3.33333333333333,3.579625,3,4,3.98275862068966,3.98275862068966,3.98275862068966,3,4,5,4,5,3.87339568138123,4.18413760963578
429,349,3.98275862068966,3.66176470588235,3.579625,5,5,5,2,5,5,4,5,5,3,4.15583848953247,4.12408460299589
429,351,3.98275862068966,3.57142857142857,3.579625,3,4,4,4,3,3,3,4,5,3,4.1065936088562,4.15149329667401
429,420,3.98275862068966,2.96428571428571,3.579625,4,2,3,3,2,4,3,5,4,5,3.4350962638855,3.61077497499634
429,421,3.98275862068966,3.5,3.579625,4,3,4,3,3,5,4,4,4,3,4.06701231002808,4.20408446725932
429,432,3.98275862068966,3.03333333333333,3.579625,3,2,3,3,4,5,3,5,5,3,3.55716061592102,3.7136536529019
429,434,3.98275862068966,3.203125,3.579625,5,3,4,3,3,5,4,3,5,5,3.71319150924683,3.82659178897224
429,468,3.98275862068966,3.375,3.579625,5,4,3,3,3,4,4,5,5,4,3.88341617584229,4.17679155330283
429,588,3.98275862068966,3.70588235294118,3.579625,4,5,4,2,4,5,5,5,4,5,4.25547504425049,4.1374490940224
429,590,3.98275862068966,3.84810126582278,3.579625,5,5,3,2,3,5,5,3,5,5,4.40275478363037,4.32380982833973
429,592,3.98275862068966,3.27272727272727,3.579625,3,4,3,3,3,5,5,5,5,5,3.82985305786133,3.78394087413105
429,595,3.98275862068966,3.76785714285714,3.579625,5,2,5,3,3,5,5,5,3,5,4.28231287002563,4.19739055337502
429,48,3.98275862068966,3.2,3.579625,5,3,4,4,3,3,5,2,4,5,3.74653625488281,3.91619565368419
429,60,3.98275862068966,3.84615384615385,3.579625,5,5,4,3,5,4,4,3,3,5,4.30752754211426,4.25976296046159
429,151,3.98275862068966,3.85,3.579625,5,3,4,4,3,3,5,3,4,3,4.54476404190063,4.40171655750474
429,168,3.98275862068966,3.42307692307692,3.579625,5,4,5,4,3,4,3,3,4,5,3.88772964477539,3.9995187608939
429,169,3.98275862068966,2.83333333333333,3.579625,3,3,3,3,2,4,4,3,4,5,3.3828272819519,4.05197275591649
429,185,3.98275862068966,3.34545454545455,3.579625,5,5,3,5,3,5,5,5,3,3,3.92919874191284,3.87608950241831
429,186,3.98275862068966,3.28571428571429,3.579625,5,3,3,3,3,4,4,5,5,3,3.91636371612549,4.00294139303988
429,195,3.98275862068966,3.83333333333333,3.579625,4,5,4,2,4,5,3,5,5,4,4.30328273773193,4.25759901724126
429,204,3.98275862068966,2.73684210526316,3.579625,4,1,1,3,3,4,3,3,4,4,3.20935010910034,3.61894155857282
429,207,3.98275862068966,4,3.579625,5,5,4,3,4,4,4,4,5,3,4.5452241897583,4.30292772810498
429,208,3.98275862068966,2.78947368421053,3.579625,4,1,3,3,3,5,5,5,5,5,3.34676599502563,3.54602937776509
429,234,3.98275862068966,2.45454545454545,3.579625,2,2,3,2,2,4,4,4,3,5,2.851895570755,3.67884265575063
429,236,3.98275862068966,3.56666666666667,3.579625,4,5,4,4,4,5,5,5,4,4,4.0349268913269,4.06697678851011
